06/03 12Z,   0.30,   0.24,   1.48,  99.90,   0.94,
06/03 13Z,   0.30,   0.77,   2.04,  99.90,   0.97,
06/03 14Z,   0.30,   1.05,   2.28,  99.90,   0.93,  (max)
06/03 15Z,   0.30,   1.01,   2.20,  99.90,   0.89,
06/03 16Z,   0.30,   0.67,   1.87,  99.90,   0.90,
06/03 17Z,   0.40,   0.12,   1.38,  99.90,   0.86,
06/03 18Z,   0.40,  -0.50,   0.79,  99.90,   0.89,
06/03 19Z,   0.40,  -1.04,   0.26,  99.90,   0.90,
06/03 20Z,   0.40,  -1.33,  -0.03,  99.90,   0.90,  (min)
06/03 21Z,   0.40,  -1.30,   0.03,  99.90,   0.93,
06/03 22Z,   0.40,  -0.92,   0.43,  99.90,   0.95,
06/03 23Z,   0.40,  -0.28,   0.99,  99.90,   0.87,
06/04 00Z,   0.40,   0.46,   1.75,  99.90,   0.89,
06/04 01Z,   0.40,   1.12,   2.42,  99.90,   0.90,
06/04 02Z,   0.40,   1.53,   2.77,  99.90,   0.84,
06/04 03Z,   0.40,   1.62,   2.86,  99.90,   0.84,  (max)
06/04 04Z,   0.40,   1.35,   2.61,  99.90,   0.86,
06/04 05Z,   0.40,   0.80,   2.14,  99.90,   0.94,
06/04 06Z,   0.40,   0.08,   1.45,  99.90,   0.97,
06/04 07Z,   0.40,  -0.64,   0.76,  99.90,   1.00,
06/04 08Z,   0.40,  -1.19,   0.24,  99.90,   1.03,
06/04 09Z,   0.40,  -1.44,  -0.00,  99.90,   1.04,  (min)
06/04 10Z,   0.40,  -1.32,   0.08,  99.90,   1.00,
06/04 11Z,   0.40,  -0.88,   0.46,  99.90,   0.94,
06/04 12Z,   0.30,  -0.24,   1.01,  99.90,   0.95,
06/04 13Z,   0.30,   0.42,   1.64,  99.90,   0.92,
06/04 14Z,   0.30,   0.91,   2.14,  99.90,   0.93,
06/04 15Z,   0.30,   1.11,   2.29,  99.90,   0.88,  (max)
06/04 16Z,   0.30,   0.98,   2.16,  99.90,   0.88,
06/04 17Z,   0.20,   0.56,   1.70,  99.90,   0.94,
06/04 18Z,   0.20,  -0.03,   1.13,  99.90,   0.96,
06/04 19Z,   0.20,  -0.66,   0.52,  99.90,   0.98,
06/04 20Z,   0.20,  -1.15,   0.09,  99.90,   1.04,
06/04 21Z,   0.20,  -1.37,  -0.10,  99.90,   1.07,  (min)
06/04 22Z,   0.20,  -1.25,   0.01,  99.90,   1.06,
06/04 23Z,   0.20,  -0.79,   0.46,  99.90,   1.05,
06/05 00Z,   0.20,  -0.11,   1.15,  99.90,   1.06,
06/05 01Z,   0.20,   0.63,   1.86,  99.90,   1.03,
06/05 02Z,   0.20,   1.24,   2.48,  99.90,   1.04,
06/05 03Z,   0.20,   1.58,   2.78,  99.90,   1.00,  (max)
06/05 04Z,   0.20,   1.58,   2.72,  99.90,   0.94,
06/05 05Z,   0.20,   1.23,   2.38,  99.90,   0.95,
06/05 06Z,   0.20,   0.62,   1.84,  99.90,   1.02,
06/05 07Z,   0.20,  -0.12,   1.14,  99.90,   1.06,
06/05 08Z,   0.20,  -0.82,   0.46,  99.90,   1.08,
06/05 09Z,   0.20,  -1.31,  -0.00,  99.90,   1.11,
06/05 10Z,   0.20,  -1.47,  -0.20,  99.90,   1.07,  (min)
06/05 11Z,   0.20,  -1.25,  -0.01,  99.90,   1.04,
06/05 12Z,   0.20,  -0.74,   0.36,  99.90,   0.90,
06/05 13Z,   0.20,  -0.06,  99.90,   1.01,   0.87,
06/05 14Z,   0.20,   0.58,  99.90,   1.63,   0.85,
06/05 15Z,   0.20,   1.01,  99.90,   2.04,   0.82,
06/05 16Z,   0.20,   1.14,  99.90,   2.14,   0.80,  (max)
06/05 17Z,   0.20,   0.94,  99.90,   1.91,   0.77,
06/05 18Z,   0.20,   0.47,  99.90,   1.42,   0.75,
06/05 19Z,   0.20,  -0.15,  99.90,   0.77,   0.73,
06/05 20Z,   0.20,  -0.76,  99.90,   0.14,   0.70,
06/05 21Z,   0.20,  -1.21,  99.90,  -0.33,   0.68,
06/05 22Z,   0.20,  -1.37,  99.90,  -0.51,   0.65,  (min)
06/05 23Z,   0.20,  -1.17,  99.90,  -0.34,   0.63,
06/06 00Z,   0.20,  -0.67,  99.90,   0.14,   0.60,
06/06 01Z,   0.20,   0.03,  99.90,   0.84,   0.60,
06/06 02Z,   0.20,   0.75,  99.90,   1.55,   0.60,
06/06 03Z,   0.20,   1.30,  99.90,   2.11,   0.60,
06/06 04Z,   0.20,   1.57,  99.90,   2.37,   0.60,  (max)
06/06 05Z,   0.20,   1.49,  99.90,   2.29,   0.60,
06/06 06Z,   0.20,   1.08,  99.90,   1.88,   0.60,
06/06 07Z,   0.20,   0.43,  99.90,   1.24,   0.60,
06/06 08Z,   0.20,  -0.30,  99.90,   0.50,   0.60,
06/06 09Z,   0.20,  -0.96,  99.90,  -0.15,   0.60,
06/06 10Z,   0.20,  -1.38,  99.90,  -0.57,   0.60,
06/06 11Z,   0.20,  -1.45,  99.90,  -0.65,   0.60,  (min)
06/06 12Z,   0.20,  -1.16,  99.90,  -0.36,   0.60,
06/06 13Z,   0.20,  -0.59,  99.90,   0.21,   0.60,
06/06 14Z,   0.30,   0.09,  99.90,   1.00,   0.60,
06/06 15Z,   0.30,   0.71,  99.90,   1.61,   0.60,
06/06 16Z,   0.30,   1.09,  99.90,   2.00,   0.60,
06/06 17Z,   0.30,   1.16,  99.90,   2.06,   0.60,  (max)
06/06 18Z,   0.30,   0.90,  99.90,   1.81,   0.60,
06/06 19Z,   0.30,   0.40,  99.90,   1.31,   0.60,
06/06 20Z,   0.30,  -0.22,  99.90,   0.68,   0.60,
06/06 21Z,   0.40,  -0.81,  99.90,   0.19,   0.60,
06/06 22Z,   0.40,  -1.22,  99.90,  -0.22,   0.60,
06/06 23Z,   0.40,  -1.33,  99.90,  -0.32,   0.60,  (min)
06/07 00Z,   0.40,  -1.10,  99.90,  -0.09,   0.60,
06/07 01Z,   0.50,  -0.57,  99.90,   0.53,   0.60,
06/07 02Z,   0.50,   0.12,  99.90,   1.22,   0.60,
06/07 03Z,   0.60,   0.80,  99.90,   2.00,   0.60,
06/07 04Z,   0.60,   1.30,  99.90,   2.50,   0.60,
06/07 05Z,   0.60,   1.50,  99.90,   2.71,   0.60,  (max)
06/07 06Z,   0.60,   1.36,  99.90,   2.57,   0.60,
06/07 07Z,   0.60,   0.92,  99.90,   2.13,   0.60,
06/07 08Z,   0.60,   0.27,  99.90,   1.47,   0.60,
06/07 09Z,   0.60,  -0.45,  99.90,   0.76,   0.60,
06/07 10Z,   0.60,  -1.06,  99.90,   0.15,   0.60,
06/07 11Z,   0.70,  -1.41,  99.90,  -0.11,   0.60,
06/07 12Z,   0.70,  -1.42,  99.90,  -0.11,   0.60,  (min)
06/07 13Z,   0.70,  -1.07,  99.90,   0.24,   0.60,
06/07 14Z,   0.70,  -0.47,  99.90,   0.84,   0.60,
06/07 15Z,   0.70,   0.22,  99.90,   1.53,   0.60,
06/07 16Z,   0.70,   0.81,  99.90,   2.12,   0.60,
06/07 17Z,   0.70,   1.16,  99.90,   2.46,   0.60,  (max)
06/07 18Z,   0.60,   1.18,  99.90,   2.39,   0.60,
06/07 19Z,   0.60,   0.90,  99.90,   2.10,   0.60,
06/07 20Z,   0.60,   0.38,  99.90,   1.59,   0.60,
06/07 21Z,   0.60,  -0.24,  99.90,   0.97,   0.60,
06/07 22Z,   0.50,  -0.81,  99.90,   0.29,   0.60,
06/07 23Z,   0.50,  -1.19,  99.90,  -0.09,   0.60,
06/08 00Z,   0.50,  -1.28,  99.90,  -0.18,   0.60,  (min)
06/08 01Z,   0.40,  -1.04,  99.90,  -0.03,   0.60,
06/08 02Z,   0.40,  -0.52,  99.90,   0.49,   0.60,
06/08 03Z,   0.40,   0.15,  99.90,   1.15,   0.60,
06/08 04Z,   0.30,   0.78,  99.90,   1.69,   0.60,
06/08 05Z,   0.30,   1.24,  99.90,   2.14,   0.60,
06/08 06Z,   0.30,   1.40,  99.90,   2.30,   0.60,  (max)
06/08 07Z,   0.30,   1.23,  99.90,   2.14,   0.60,
06/08 08Z,   0.20,   0.78,  99.90,   1.58,   0.60,
06/08 09Z,   0.20,   0.14,  99.90,   0.94,   0.60,
06/08 10Z,   0.20,  -0.55,  99.90,   0.25,   0.60,
06/08 11Z,   0.20,  -1.12,  99.90,  -0.31,   0.60,
06/08 12Z,   0.20,  -1.42,  99.90,  -0.62,   0.60,
06/08 13Z,   0.10,  -1.37,  99.90,  -0.67,   0.60,  (min)
06/08 14Z,   0.10,  -0.99,  99.90,  -0.28,   0.60,
06/08 15Z,   0.10,  -0.37,  99.90,   0.34,   0.60,
06/08 16Z,   0.10,   0.32,  99.90,   1.02,   0.60,
06/08 17Z,   0.10,   0.89,  99.90,   1.60,   0.60,
06/08 18Z,   0.00,   1.22,  99.90,   1.82,   0.60,
06/08 19Z,   0.00,   1.22,  99.90,   1.83,   0.60,  (max)
06/08 20Z,   0.00,   0.93,  99.90,   1.53,   0.60,
06/08 21Z,   0.00,   0.41,  99.90,   1.02,   0.60,
06/08 22Z,   0.00,  -0.20,  99.90,   0.40,   0.60,
06/08 23Z,   0.00,  -0.77,  99.90,  -0.17,   0.60,
06/09 00Z,   0.00,  -1.15,  99.90,  -0.55,   0.60,
